Origin,snowName,displayName,legacy,enabled
ISE,ARE31 - ARE Dubai - Arif and Bintoak Bldg,"Dubai, Arif, Bintoak",false,false
ISE,ARG01 - ARG Buenos - Aires San Martin,"Buenos Aires, Argentina",false,true
ISE,AUS31 - Brisbane,"Brisbane, Australia",false,true
ISE,AUS35 - AUS Sydney - North Ryde,"Sydney, Australia",false,true
ISE,AUT31 - AUT Schwechat - Am Concorde Pk,"Schwechat, Austria",false,true
ISE,AUT31 - AUT Wien - Rinnböckstrasse,"Wien, Austria",false,true
ISE,AUT32 - AUT Vienna - Handelskai,"Vienna, Austria",false,true
ISE,AZ031 - USA AZ - Nogales,"Nogales, Arizona",false,true
ISE,"BEL31 - Belgium, Erembodegem","Erembodegem, Belgium",false,true
ISE,"BEL32 - Belgium, Temse","Temse, Belgium",false,true
ISE,BIH01 - Bosnia Cazin,"Cazin, Bosnia (Legacy Carefusion)",true,true
ISE,BRA31 - BRA Araucaria - Curitiba Exped,"Araucaria, Brazil",false,true
ISE,BRA32 - BRA Sao Paulo - Chacara Santo Antonio,"Sao Paulo, Brazil (Legacy Carefusion)",true,true
ISE,BRA33 - BRA Juiz de Fora - Francisco Bernardino,"Juiz de Fora, Brazil",false,true
ISE,BRA35 - BRA Osasco - Praça Agrícola La paz Tristante,"Osasco, Brazil",false,true
ISE,BRA37 - BRA Itajaí - Santa Catarina,"Itajai, Brazil",false,true
ISE,CA002 - USA CA - San Diego Bldg A and B,"San Diego, California (Legacy Carefusion)",true,true
ISE,CA010 - Sirigen,"San Diego, California (Sirigen) (Legacy Carefusion)",true,true
ISE,CA028_OLD_MCG_2 - San Diego - HQ Blds A and B,"San Diego, California - Bldg A and B (Legacy Carefusion)",true,true
ISE,CA142 - USA CA - San Diego - Otay Mesa,"San Diego, California - Otay Mesa",false,true
ISE,CA154 - USA CA - San Diego TC Bldg C and D,"San Diego, California - Bldg C and D (Legacy Carefusion)",true,true
ISE,CA231 - USA CA - Menlo Park,"Menlo Park, California",false,true
ISE,CA232 - USA CA - Redlands Distribution Ctr,"Redlands, California",false,true
ISE,CA233 - USA CA - San Diego (BDB),"San Diego, California (BDB) (Legacy Carefusion)",true,true
ISE,CA234 - USA CA - San Diego (Diagnostic Sys.),"San Diego, California - Diagnostics",false,true
ISE,CA235 - USA CA - San Jose,"San Jose, California",false,true
ISE,CA236 - USA CA - San Jose (Reagents),"San Jose, California (Reagents)",false,true
ISE,CA237 - La Brea - R and D Infusion Disposables,"Brea, California",false,true
ISE,CAN01 - CAN Quebec - St-Vallier Street,"Quebec, Canada - St-Vallier Street",false,true
ISE,CAN31 - CAN Mississauga - Derry Road West,"Mississauga, Ontario (Legacy Carefusion)",true,true
ISE,CAN32 - CAN Quebec - GeneOhm Sciences,"Quebec City, Quebec",false,true
ISE,CAN34 - Oakville,"Oakville, Ontario",false,true
ISE,CHE02 - CHE Eysins,"Eysins, Switzerland (Legacy Carefusion)",true,true
ISE,CHE02 - CHE Rolle - A-One Business Centre,,false,false
ISE,CHE31 - CHE Basel - Binninger Str,"Allschwill, Switzerland",false,true
ISE,CHL31 - CHL Santiago - Reg Metropolitana,"Santiago, Chile(Reg Metropolitana)",false,true
ISE,CHL32 - CHL Santiago - Chile Shared Service Center,"Santiago, Chile(Service Center)",false,true
ISE,CHN08 - CHN Guangzhou - Zhu Jiang East Rd,"Guangzhou, China",false,true
ISE,CHN12 - CHN Shanghai - Jinqiao,"Shanghai, China",false,true
ISE,CHN32 - CHN Suzhou - Jiangsu Province,Suzhou Jiangsu,false,false
ISE,CHN33 - CHN Beijing - China Central Place,"Beijing, China",false,true
ISE,CHN34 - CHN Shanghai - JingAn Kerry Centre,"Shanghai, China - JingAn Kerry Centre",false,true
ISE,CHN35 - CHN Chengdu - Jinjiang Int'l Bldg,"Chengdu, China",false,true
ISE,CHN36 - CHN Hangzhou - Guangli Tower,"Hangzhou, China",false,true
ISE,CHN37 - CHN Jinan - Hualu Tower,"Jinan, China",false,true
ISE,CHN47 - CHN Urumqi - Tianshan District,"Ürümqi, China",false,true
ISE,CHN48 - CHN Suzhou - BD Rapid Diagnostics,"Suzhou, China (BD Rapid Diagnostics)",false,false
ISE,CHN49 - CHN Suzhou - Jiangsu Province (Zone 2),"Suzhou, China (Jiangsu Province Zone 2)",false,true
ISE,COL31 - COL Cundinamarca - Bogota,"Bogota, Colombia",false,true
ISE,CT031 - USA CT - Canaan,"Canaan, Connecticut",false,true
ISE,CZE31 - CZE Prague - Praha,"Praha, Prague",false,true
ISE,"DC031 - USA DC - Washington, DC","Washington, DC",false,true
ISE,DEU06 - Germany Wurmlingen,"Wurmlingen, Germany",false,true
ISE,DEU08 - DEU Kelberg - Rowastrasse,"Kelberg, Germany",false,true
ISE,DEU09 - Frankfurt,"Frankfurt, Germany (Legacy Carefusion)",true,true
ISE,DEU32 - DEU Heidelberg - Tullastrasse,"Heidelberg, Germany",false,true
ISE,DNK01 - Denmark Lyngby,"Lyngby, Denmark",false,true
ISE,DNK31 - DNK Brondby - Park Alle,"Brondby, Denmark",false,true
ISE,DOM01 - Dominican Republic Santo Domingo,"Santo Domingo, Dominican Republic",false,true
ISE,ESP09 - Spain Almaraz,"Almaraz, Spain",false,true
ISE,ESP11 - Spain Malaga ARX,"Malaga ARX, Spain",false,true
ISE,ESP31 - ESP Huesca - Fraga,"Fraga, Spain",false,true
ISE,ESP32 - ESP San Agustin del Guadalix,"San Augustin, Spain",false,true
ISE,FIN31 - FIN Helsinki - Pronssitie,"Helsinki, Finland",false,true
ISE,FL031 - USA FL - Miami,"Miami, Florida",false,true
ISE,FL118 - USA FL - Miami - Dadeland,"Miami, Florida (Dadeland)",false,false
ISE,FRA Rungis Cedex - Bâtiment Londres,,false,false
ISE,FRA31 - FRA Le Pont-de-Claix Cedex,"Pont de Claix, France",false,true
ISE,Franklin Lakes,,false,false
ISE,GA031 - USA GA - Grayson,"Grayson, Georgia",false,true
ISE,GBR31 - GBR Swindon - Dorcan,"Swindon, United Kingdom",false,true
ISE,GBR32 - GBR Oxford - Oxford Science Park,"Oxford, United Kingdom",false,true
ISE,GBR34 - GBR Plymouth - Belliver Industrial Estate,"Plymouth, United Kingdom",false,true
ISE,GBR35 - GBR Winnersh - Eskdale Road,"Winnersh, United Kingdom",false,true
ISE,GHA31 - GHA Osu - Secant Tower,"Osu, Ghana",false,true
ISE,HKG31 - HKG - Kowloon Bay,"Kowloon Bay, Hong Kong",false,true
ISE,HU - Hungary,,false,false
ISE,HU - Tatabanya,"Tatabanya, Hungary (Legacy Carefusion)",true,true
ISE,HUN31 - HUN Kornye - Uveggyar,"Kornye, Hungary",false,true
ISE,IL069 - USA IL Chicago,"Chicago, Illinois (Data Center - Flexconnect Users)",false,true
ISE,IL070 - USA IL - Vernon Hills,"Vernon Hills, Illinois (Legacy Carefusion)",true,true
ISE,IN031 - USA IN - Plainfield,"Plainfield, Indiana",false,true
ISE,IND04 - IND Chandigarh - DLF IT Park,"Chandigarh, India (Legacy Carefusion)",true,true
ISE,IND22 - IND Chennai - Medavakkam High Rd,"Chennai, India",false,true
ISE,IND31 - IND Gurgaon - Signature Towers B,"Gurgaon, India",false,true
ISE,"IND39 - IND HCL Technologies, SEZ, Illandahikulam, Madurai","Madurai, India (HCL Technologies)",false,true
ISE,IRL31 - IRL Limerick - Raheen Business Park,"Limerick, Ireland",false,true
ISE,IRL32 - IRL Drogheda - Donore Rd,"Drogheda, Ireland",false,true
ISE,IRL33 - IRL Dun Laoghaire - Pottery Road,"Dun Laoghaire, Ireland",false,true
ISE,ISR01 - ISR BD-Israel,"Israel, Lapidot",false,true
ISE,ISR02 - ISR CME-Israel,"Israel, CME",false,true
ISE,ITA05 - Italy Florence,"Florence, Italy (Legacy Carefusion)",true,true
ISE,ITA06 - ITA Villamarzana - Via G. Matteotti,"Villamarzana, Italy",false,true
ISE,ITA31 - ITA Milan - Via Enrico Cialdini,"Milan, Italy",false,true
ISE,JPN36 - JPN Suita-shi - Osaka,"Toyonakashi, Japan",false,true
ISE,JPN38 - JPN Tokyo - Minato-ku,"Tokyo, Japan",false,true
ISE,JPN39 - JPN Fukushima-shi - Tsuchifune,"Fukushima, Japan",false,true
ISE,KEN31 - KEN Nairobi - Africa Re Center,"Nairobi, Kenya",false,true
ISE,KOR32 - KOR South Korea HQ - Seoul,"Seoul, South Korea",false,true
ISE,KOR34 - KOR South Korea - DaeJeon,"DaeJeon, South Korea",false,true
ISE,MA033 - USA MA - Andover,"Andover, Massachusetts",false,true
ISE,MD031 - USA MD - Baltimore,"Baltimore, Maryland",false,true
ISE,MEX07 - Mexico Tijuana,"Tijuana, Mexico (Legacy Carefusion)",true,true
ISE,MEX31 - MEX Nogales - Sonora,"Nogales, Sonora",false,true
ISE,MEX32 - MEX San Luis Potosi - Villa de Reyes,"San Luis Potosi, Mexico",false,true
ISE,MEX33 - MEX Mexico City - Lomas de Chapultepec,"Distrito Federal, Mexico",false,true
ISE,MEX34 - MEX Cuautitlan Izcalli,"Cuautitlan Izcalli, Estado de México",false,true
ISE,MEX35 - MEX Cuautitlan Izcalli - Distribution Ctr,"Cuautitlan Izcalli, Estado de México (Distribution)",false,true
ISE,MI043 - USA MI - Ann Arbor (Accuri),"Ann Arbor, Michigan",false,true
ISE,MO019 - USA MO St.Louis,"St. Louis, Missouri",false,true
ISE,MYS02 - MYS Kuala Lumpur - Jalan Kerinchi,"Kuala Lumpur, Malaysia",false,true
ISE,MYS31 - MYS Kuala Lumpur - Damansara Heights,"Damansara, Malaysia",false,true
ISE,MYS32 - MYS Bayan Lepas - Penang,"Bayan Lepas, Malaysia",false,true
ISE,NC041 - USA NC - Four Oaks,"Four Oaks, North Carolina",false,true
ISE,NC042 - USA NC - Research Triangle Park,Research Triangle Park,false,true
ISE,NC043 - USA NC - Durham (Treyburn),"Durham (Treyburn), North Carolina",false,true
ISE,NC044 - USA NC - Burlington (Tripath Imaging),"Burlington, North Carolina",false,true
ISE,NC045 - USA NC - Durham (Tripath Oncology),"Durham (Tripath Oncology), North Carolina",false,true
ISE,NC046 - USA NC - Mebane,"Mebane, North Carolina",false,true
ISE,NE031 - USA NE - Holdrege,"Holdrege, Nebraska",false,true
ISE,NE032 - USA NE - Columbus (West),"Columbus (West), Nebraska",false,true
ISE,NE033 - USA NE - Broken Bow,"Broken Bow, Nebraska",false,true
ISE,NE034 - USA NE - Columbus (East),"Columbus (East), Nebraska",false,true
ISE,NJ032 - USA NJ - Morristown Flight Operations,"Morristown, New Jersey",false,true
ISE,NJ033 - USA NJ - Franklin Lakes,"Franklin Lakes, New Jersey",false,true
ISE,NJDEFAULT - Corporate HQ Franklin Lakes,"Franklin Lakes, New Jersey (Default)",false,true
ISE,NLD31 - NLD Drachten - Marconilaan,"Drachten, Netherlands",false,true
ISE,NOR01 - Norway Asker,"Asker, Norway",false,true
ISE,NZL02 - NZL Auckland,"Auckland, New Zealand",false,true
ISE,OK003 - USA OK - Mannford,"Mannford, Oklahoma (Legacy Carefusion)",true,true
ISE,PER31 - PER Ate - Lima,"Lima, Peru",false,false
ISE,PHL31 - PHL Taguig City - Manila,"Manila, Philippines",false,true
ISE,POL31 - POL Warsaw - ul. Osmanska,"Warsaw, Poland",false,true
ISE,POL32 - POL Wroclaw - Legnicka,"Wroclaw, Poland - Legnicka",false,true
ISE,POL32 - POL Wroclaw - Srubowa,"Wroclaw, Poland - Srubowa",false,true
